Universe,DivAristo,War,Rail,Value
GPC,GPC,BA,UNP,UNP
DOV,DOV,NOC,CSX,COST
EMR,EMR,RTX,KSU,CSX
,PG,LMT,WAB,KSU
,MMM,GD,,GOOGL
,KO,LHX,,AAPL
,JNJ,,,SHW
,LOW,,,ACN
,CL,,,KMX
,HRL,,,UNH
,TGT,,,NOV
,SWK,,,HD
,SYY,,,NKE
,BDX,,,CMCSA
,LEG,,,MCD
,PPG,,,AMGN
,GWW,,,TGT
,KMB,,,ISRG
,PEP,,,TJX
,VFC,,,SBUX
,NUE,,,TSCO
,ABT,,,FDX
,WMT,,,WMT
,ED,,,BA
,ITW,,,DIS
,ADM,,,ORLY
,ADP,,,
,WBA,,,
,MCD,,,
,PNR,,,
,CLX,,,
,MDT,,,
,SHW,,,
,BEN,,,
,AFL,,,
,CTAS,,,
,XOM,,,
,ATO,,,
,T,,,
,TROW,,,
,MKC,,,
,CAH,,,
,CVX,,,
,GD,,,
,ECL,,,
,LIN,,,
,PBCT,,,
,ROP,,,
,O,,,
,AOS,,,
,CAT,,,
,CB,,,
,RTX,,,
,ESS,,,
,ROST,,,
,LB,,,
